CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV,CRIM_scaled,ZN_scaled,INDUS_scaled,NOX_scaled,RM_scaled,AGE_scaled,DIS_scaled,RAD_scaled,TAX_scaled,PTRATIO_scaled,B_scaled,LSTAT_scaled,MEDV_scaled,RM_AGE_interaction,distance_mean,environment_score
0.00632,18.0,2.31,0,0.538,6.575,65.2,4.09,1,296,15.3,396.9,4.98,24.0,0.0,0.5760000000000001,0.0678152493,0.3148148148,0.6085704607,0.6416065911000001,0.3406203976,0.0,0.20801526720000002,0.2386363636,1.0,0.1075002067,0.5936520376000001,428.69,2.545,1.424
0.02731,0.0,7.07,0,0.46900000000000003,6.421,78.9,4.9671,2,242,17.8,396.9,9.14,21.6,0.0023159287,0.0,0.2423020528,0.1728395062,0.5564024390000001,0.7826982492,0.4415385677,0.0434782609,0.1049618321,0.5227272727,1.0,0.2451004713,0.5184169279,506.6169,3.48355,3.7695
0.027290000000000002,0.0,7.07,0,0.46900000000000003,7.185,61.1,4.9671,2,242,17.8,392.83,4.03,34.7,0.0023137220000000003,0.0,0.2423020528,0.1728395062,0.8152100271,0.5993820803000001,0.4415385677,0.0434782609,0.1049618321,0.5227272727,0.9229075411000001,0.0760770694,0.9290752351,439.0035,3.48355,3.7695
0.03237,0.0,2.18,0,0.458,6.998,45.8,6.0622,3,222,18.7,394.63,2.94,33.4,0.0028742231,0.0,0.06304985340000001,0.15020576130000002,0.7518631436000001,0.4418125644,0.5675395803000001,0.0869565217,0.0667938931,0.625,0.9570024861,0.040023153900000004,0.888322884,320.5084,4.5311,1.319
0.06905,0.0,2.18,0,0.458,7.147,54.2,6.0622,3,222,18.7,396.9,5.33,36.2,0.006921305700000001,0.0,0.06304985340000001,0.15020576130000002,0.8023373984000001,0.5283213182000001,0.5675395803000001,0.0869565217,0.0667938931,0.625,1.0,0.1190771521,0.9760971787,387.3674,4.5311,1.319
0.02985,0.0,2.18,0,0.458,6.43,58.7,6.0622,3,222,18.7,394.12,5.21,28.7,0.0025961792,0.0,0.06304985340000001,0.15020576130000002,0.5594512195,0.5746652935000001,0.5675395803000001,0.0869565217,0.0667938931,0.625,0.9473422517000001,0.11510791370000001,0.7409874608,377.441,4.5311,1.319
0.08829000000000001,12.5,7.87,0,0.524,6.012,66.6,5.5605,5,311,15.2,395.6,12.43,22.9,0.0090441484,0.4,0.27162756600000004,0.2860082305,0.4178523035,0.6560247168000001,0.509814525,0.1739130435,0.23664122140000002,0.2272727273,0.9753758731000001,0.3539237575,0.559169279,400.3992,5.28025,4.197
0.14455,12.5,7.87,0,0.524,6.172,96.1,5.9505,5,311,15.2,396.9,19.15,27.1,0.0152515876,0.4,0.27162756600000004,0.2860082305,0.47205284550000004,0.9598352214,0.5546875,0.1739130435,0.23664122140000002,0.2272727273,1.0,0.5762011081,0.6908307210000001,593.1292,5.47525,4.197
0.21124,12.5,7.87,0,0.524,5.631,100.0,6.0821,5,311,15.2,386.63,29.93,16.5,0.0226098194,0.4,0.27162756600000004,0.2860082305,0.2887872629,1.0,0.5698292526000001,0.1739130435,0.23664122140000002,0.2272727273,0.8054693974,0.9327710246,0.3585423197,563.1,5.54105,4.197
0.17004000000000002,12.5,7.87,0,0.524,6.004,85.9,6.5921,5,311,15.2,386.71,17.1,18.9,0.0180640232,0.4,0.27162756600000004,0.2860082305,0.4151422764,0.8547888774,0.6285092968,0.1739130435,0.23664122140000002,0.2272727273,0.8069847283,0.5083932854000001,0.43377742950000003,515.7436,5.79605,4.197
